country,coordinates,country-code,continent
Belarus,"53.5318804783, 28.033566395",BLR,Europe
Germany,"51.1063634863, 10.3814938434",DEU,Europe
Denmark,"62.0740272545, -6.87055477617",DN1,Europe
Portugal,"39.5871468639, -8.59083758901",PRT,Europe
Andorra,"42.541326525, 1.56075624107",AND,Europe
Albania,"41.1424820604, 20.053819197",ALB,Europe
Poland,"52.1247718189, 19.3943221398",POL,Europe
Bosnia and Herzegovina,"44.1717340565, 17.7734080203",BIH,Europe
United Kingdom,"49.2210642111, -2.12743081446",GB1,Europe
Lithuania,"55.3270236412, 23.8882490157",LTU,Europe
San Marino,"43.9364661946, 12.4422225588",SMR,Europe
France,"42.1801069806, -2.75522118992",FR1,Europe
Spain,"40.2272337014, -3.65263701695",ESP,Europe
Hungary,"47.1632436866, 19.3967592674",HUN,Europe
Croatia,"45.067726168, 16.3985488378",HRV,Europe
Monaco,"43.7398461874, 7.39897432483",MCO,Europe
Finland,"60.1864472514, 20.0555828218",FI1,Europe
Czechia,"49.7324482055, 15.3141031033",CZE,Europe
Liechtenstein,"47.1382064295, 9.54090028864",LIE,Europe
Italy,"42.7864339964, 12.0719070927",ITA,Europe
Montenegro,"42.7858180546, 19.2385002864",MNE,Europe
Ukraine,"49.1600782909, 31.2553061432",UKR,Europe
Sweden,"62.7770998648, 16.7544664339",SWE,Europe
Greece,"39.0511811824, 22.9748189255",GRC,Europe
Malta,"35.921026987, 14.4037540314",MLT,Europe
Slovenia,"46.1161109843, 14.8080896248",SVN,Europe
Luxembourg,"49.7668242758, 6.07176396727",LUX,Europe
Belgium,"50.6374616353, 4.63996050767",BEL,Europe
Estonia,"58.6710141504, 25.5357932075",EST,Europe
Kosovo,"42.5728833853, 20.8737431935",KOS,Europe
Austria,"47.5856569205, 14.1306728873",AUT,Europe
Netherlands,"52.0697916544, 5.2168142092",NL1,Europe
Latvia,"56.8518194796, 24.9086224276",LVA,Europe
Norway,"68.7942729218, 15.4095991585",NOR,Europe
Romania,"45.8534640978, 24.9729418552",ROU,Europe
Switzerland,"46.7989568698, 8.21535365745",CHE,Europe
Russia,"61.9668529189, 96.6275884228",RUS,Europe
Moldova,"47.195101489, 28.4613971304",MDA,Europe
Iceland,"64.9983158205, -18.5964459278",ISL,Europe
Republic of Serbia,"44.2213759212, 20.790402471",SRB,Europe
Bulgaria,"42.7685226144, 25.2175125117",BGR,Europe
Slovakia,"48.7049353017, 19.4803829712",SVK,Europe
Vatican,"41.9033124692, 12.4534177294",VAT,Europe
Ireland,"53.1782213727, -8.14504467255",IRL,Europe
Macedonia,"41.5950049267, 21.6838304101",MKD,Europe
